Date;Open;High;Low;Close
28.09.2018;118010;118020;117990;118020
28.09.2018;118010;118040;118010;118020
28.09.2018;118020;118030;118000;118030
28.09.2018;118000;118030;117980;118030
28.09.2018;118020;118040;118000;118000
28.09.2018;118000;118050;118000;118000
28.09.2018;118000;118010;117970;117970
28.09.2018;117980;118010;117910;118000
28.09.2018;117980;117990;117980;117990
28.09.2018;117990;117990;117910;117920
28.09.2018;117920;117930;117810;117830
28.09.2018;117840;117890;117830;117860
28.09.2018;117870;117880;117830;117860
28.09.2018;117870;117900;117850;117860
28.09.2018;117860;117860;117720;117750
28.09.2018;117740;117780;117720;117780
28.09.2018;117770;117830;117760;117830
28.09.2018;117830;117920;117820;117920
28.09.2018;117920;117970;117920;117940
28.09.2018;117930;117950;117890;117890
28.09.2018;117910;117910;117870;117880
28.09.2018;117870;117880;117860;117870
28.09.2018;117870;117930;117870;117920
28.09.2018;117930;117950;117910;117950
28.09.2018;117950;117990;117930;117970
28.09.2018;117980;118040;117970;118030
28.09.2018;118020;118020;117930;117950
28.09.2018;117940;117970;117940;117950
28.09.2018;117940;117990;117890;117990
28.09.2018;117990;118020;117990;118010
28.09.2018;118010;118030;117990;117990
28.09.2018;117990;118020;117970;117970
28.09.2018;117990;118010;117980;118000
28.09.2018;118000;118020;118000;118000
28.09.2018;117990;117990;117990;117990
28.09.2018;118000;118010;117990;118010
28.09.2018;118010;118010;117990;117990
28.09.2018;117990;118030;117990;118020
28.09.2018;118030;118040;118020;118020
28.09.2018;118030;118040;118020;118030
28.09.2018;118020;118050;118020;118040
28.09.2018;118050;118100;118020;118060
28.09.2018;118050;118100;118000;118000
28.09.2018;118020;118020;117960;117970
28.09.2018;117980;118010;117960;118010
28.09.2018;118020;118060;118010;118040
28.09.2018;118040;118050;118000;118010
28.09.2018;118020;118020;117970;117980
28.09.2018;117980;117980;117900;117950
28.09.2018;117940;117990;117930;117980
28.09.2018;117980;118000;117980;118000
28.09.2018;117990;118010;117920;117960
28.09.2018;117960;117970;117940;117940
28.09.2018;117930;117930;117900;117910
28.09.2018;117920;117980;117910;117950
28.09.2018;117950;117960;117950;117950
28.09.2018;117950;117980;117940;117940
28.09.2018;117940;117950;117940;117950
28.09.2018;117960;117970;117960;117970
28.09.2018;117970;117970;117960;117960
28.09.2018;117980;117990;117970;117990
28.09.2018;117980;118020;117980;118000
28.09.2018;117980;117990;117940;117950
28.09.2018;117950;117950;117930;117940
28.09.2018;117930;117950;117930;117930
28.09.2018;117930;117930;117910;117920
28.09.2018;117920;117930;117910;117910
